category,validation_threshold,roc_auc,average_precision,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,validation_seconds_per_image,test_seconds_per_image
bottle,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9759036144578314,0.9692307692307692,1.0,0.984375,18,2,0,63,0.04329463170568754,0.037313892771153295
cable,0.8156431227922439,0.931409295352324,0.9625900975336278,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,55,3,21,71,0.05923398636514321,0.05977446266682818
capsule,0.6895909905433655,0.8974870362983646,0.97629593165156,0.7575757575757576,0.9529411764705882,0.7431192660550459,0.8350515463917526,19,4,28,81,0.05743016511591714,0.05818657121254188
carpet,0.6521247327327728,1.0,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,21,7,0,89,0.058416683929473426,0.05835802136804972
grid,0.6208982229232788,0.9482038429406849,0.9831067074843238,0.9230769230769231,0.9636363636363636,0.9298245614035088,0.9464285714285714,19,2,4,53,0.032159451921380915,0.03437702692388438
hazelnut,0.8422962963581084,0.9900000000000001,0.9949759508308296,0.9363636363636364,1.0,0.9,0.9473684210526315,40,0,7,63,0.05509176282122588,0.056042832727755676
leather,0.5970605373382568,1.0,1.0000000000000002,0.967741935483871,0.9583333333333334,1.0,0.9787234042553191,28,4,0,92,0.05159250612380173,0.05603898628971599
metal_nut,0.8221074998378753,0.9628543499511242,0.9916732954422252,0.8782608695652174,0.9876543209876543,0.8602150537634409,0.9195402298850575,21,1,13,80,0.028806295454904266,0.031118718261385094
pill,0.7742655634880066,0.9421713038734316,0.9897764871602179,0.8083832335329342,0.990990990990991,0.7801418439716312,0.873015873015873,25,1,31,110,0.03693112075539692,0.03878886047904073
screw,0.8123090982437133,0.5802418528386964,0.7983464886791591,0.31875,0.8571428571428571,0.10084033613445378,0.18045112781954886,39,2,107,12,0.03241009531302552,0.03735637625068193
tile,0.7879797071218491,0.9797979797979798,0.9924540182280135,0.9230769230769231,0.9746835443037974,0.9166666666666666,0.9447852760736196,31,2,7,77,0.05314466956516971,0.054620106836868465
toothbrush,0.7517013490200043,0.9694444444444444,0.9875565084059708,0.8809523809523809,0.8571428571428571,1.0,0.9230769230769231,7,5,0,30,0.06441084166484264,0.06773783571441613
transistor,0.7934566617012024,0.89375,0.9110087713695678,0.88,0.9666666666666667,0.725,0.8285714285714286,59,1,11,29,0.0737810071413627,0.06674040099955164
wood,0.7481254577636719,0.9921052631578947,0.997582039522885,0.9493670886075949,0.9375,1.0,0.967741935483871,15,4,0,60,0.06067631632678819,0.06317827088722983
zipper,0.6209909230470657,0.96875,0.9912285863689072,0.8940397350993378,0.9813084112149533,0.8823529411764706,0.9292035398230089,30,2,14,105,0.031630183334830995,0.04113748741786409
