category,transform,threshold,roc_auc,average_precision,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,seconds_per_image,clean_roc_auc,clean_accuracy,clean_precision,clean_recall,clean_f1_score,clean_false_positive,clean_false_negative,roc_auc_change,accuracy_change,precision_change,recall_change,f1_change,false_positive_change,false_negative_change
bottle,clean,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9759036144578314,0.9692307692307692,1.0,0.984375,18,2,0,63,0.039744879518837546,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,0.0,0.0,0.0,0.0,0.0,0,0
bottle,brightness_down,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9879518072289156,0.984375,1.0,0.9921259842519685,19,1,0,63,0.04060276265042913,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,0.0,0.012048192771084265,0.015144230769230771,0.0,0.007750984251968518,-1,0
bottle,brightness_up,0.7190231680870056,1.0,0.9999999999999998,0.963855421686747,0.9545454545454546,1.0,0.9767441860465116,17,3,0,63,0.03953433493909662,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,0.0007936507936507908,-0.012048192771084376,-0.014685314685314643,0.0,-0.007630813953488413,1,0
bottle,contrast_down,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9879518072289156,0.984375,1.0,0.9921259842519685,19,1,0,63,0.038854713252947544,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,0.0,0.012048192771084265,0.015144230769230771,0.0,0.007750984251968518,-1,0
bottle,gaussian_noise,0.7190231680870056,0.9865079365079366,0.9959178804277853,0.7590361445783133,0.7590361445783133,1.0,0.863013698630137,0,20,0,63,0.039223372289652836,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,-0.012698412698412653,-0.2168674698795181,-0.21019462465245597,0.0,-0.121361301369863,18,0
bottle,gaussian_blur,0.7190231680870056,0.9992063492063492,0.999751984126984,0.963855421686747,0.9545454545454546,1.0,0.9767441860465116,17,3,0,63,0.0398323759029855,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,0.0,-0.012048192771084376,-0.014685314685314643,0.0,-0.007630813953488413,1,0
bottle,rotation_5_degrees,0.7190231680870056,0.9579365079365079,0.9891870752968803,0.7590361445783133,0.7590361445783133,1.0,0.863013698630137,0,20,0,63,0.04377284337463508,0.9992063492063492,0.9759036144578314,0.9692307692307692,1.0,0.984375,2,0,-0.041269841269841345,-0.2168674698795181,-0.21019462465245597,0.0,-0.121361301369863,18,0
cable,clean,0.8156431227922439,0.931409295352324,0.9625900975336278,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,55,3,21,71,0.06649457066630324,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,0.0,0.0,0.0,0.0,0.0,0,0
cable,brightness_down,0.8156431227922439,0.9284107946026987,0.961890539230541,0.8333333333333334,0.958904109589041,0.7608695652173914,0.8484848484848485,55,3,22,70,0.06710412866668776,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,-0.002998500749625266,-0.006666666666666599,-0.0005553498704183868,-0.010869565217391242,-0.006936838262139422,0,1
cable,brightness_up,0.8156431227922439,0.9334707646176912,0.9641268752894283,0.88,0.9111111111111111,0.8913043478260869,0.9010989010989011,50,8,10,82,0.06032985599944368,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,0.0020614692653672106,0.040000000000000036,-0.048348348348348336,0.11956521739130432,0.04567721435191319,5,-11
